family	number of analyses	relative abundance (max)	score (Spearman rank correlation on order level [only actual rank])
super kingdom.Bacteria;phylum.Kiritimatiellaeota;class.Kiritimatiellae;order.Kiritimatiellales;family.Kiritimatiellaceae	3748	0.8553018313361972	0.33471704779437933
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Rhodocyclales;family.Rhodocyclaceae	3736	0.22110360868584125	0.4186587765898063
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Nevskiales;family.Sinobacteraceae	3715	0.25980998293916013	0.36135678582197783
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Kiloniellales;family.Kiloniellaceae	3643	0.08532432852480326	0.3448820131140518
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Odoribacteraceae	3622	0.25849671836461685	0.3609437056479234
super kingdom.Bacteria;phylum.Bacteroidetes;class.Cytophagia;order.Cytophagales;family.Flammeovirgaceae	3582	0.5324929938297591	0.3448676591749042
super kingdom.Archaea;phylum.Euryarchaeota;class.Methanobacteria;order.Methanobacteriales;family.Methanobacteriaceae	3582	0.32798009500113096	0.46018362430587384
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Alteromonadales;family.Shewanellaceae	3542	0.2838889214908068	0.3982783319599429
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Methylococcales;family.Methylococcaceae	3539	0.4410453954965358	0.4045525430520708
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfuromonadales;family.Desulfuromonadaceae	3515	0.33941680615743836	0.3528234744297186
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Micromonosporales;family.Micromonosporaceae	3488	0.08488761829652997	0.3380072884576939
super kingdom.Bacteria;phylum.Planctomycetes;class.Planctomycetia;order.Planctomycetales;family.Isosphaeraceae	3473	0.16043690274883007	0.34593653012288794
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Defluviitaleaceae	3469	0.15681033492194638	0.47691416736372083
super kingdom.Bacteria;phylum.Chlamydiae;class.Chlamydiia;order.Parachlamydiales;family.Simkaniaceae	3439	0.0689049667355989	0.3987522921233884
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Micrococcales;family.Intrasporangiaceae	3414	0.31785735708715734	0.39284370114719563
super kingdom.Bacteria;phylum.Actinobacteria;class.Acidimicrobiia;order.Acidimicrobiales;family.Iamiaceae	3367	0.025201336092952723	0.3413022819012372
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Clostridiales_Family_XII._Incertae_Sedis	3332	0.14174406526693692	0.37456567000098756
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Candidatus_Actinomarinales;family.Candidatus_Actinomarinaceae	3284	0.3648802977751459	0.2748708438003996
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Acidiferrobacterales;family.Acidiferrobacteraceae	3280	0.1068786610878661	0.38880359205008386
super kingdom.Bacteria;phylum.Calditrichaeota;class.Calditrichae;order.Calditrichales;family.Calditrichaceae	3260	0.06732573444982777	0.3310688099527124
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Barnesiellaceae	3247	0.10340320785476445	0.3895248717823701
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Bacillales;family.Alicyclobacillaceae	3209	0.47071680938978383	0.43060729649649826
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Chromatiales;family.Granulosicoccaceae	3185	0.39885174899635956	0.30998831474080546
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Lactobacillales;family.Aerococcaceae	3182	0.1314124534779122	0.37699664891833007
super kingdom.Bacteria;phylum.Acidobacteria;class.Acidobacteriia;order.Acidobacteriales;family.Acidobacteriaceae	3182	0.3715110191782221	0.3396725822074261
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Syntrophobacterales;family.Syntrophobacteraceae	3165	0.07417304106531984	0.3548044543744797
